date,customer_email,channel
2025-10-15,iyoung@farrell-mills.com,Referral
2025-12-13,tcervantes@pope.biz,Unknown
2025-12-02,alexamccullough@barker.com,Unknown
2025-12-02,dcarter@yahoo.com,Direct
2025-09-24,eugeneramirez@perez-mendez.com,Organic
2025-11-02,robinbush@martinez.org,Unknown
2025-11-27,bmiller@gilmore.org,Direct
2025-08-25,pjones@yahoo.com,Email
2026-02-13,vgreen@gmail.com,Email
2026-02-02,virginiaturner@james.com,Referral
2026-02-02,melanie54@hotmail.com,Organic
2025-10-27,prattmartin@green.net,Referral
2026-01-28,tolson@brown.com,Unknown
2025-09-15,stefanie90@arnold-sellers.com,Organic
2026-01-15,bakerchristopher@juarez.com,Email
2025-09-12,amy20@pearson.com,Referral
2025-12-31,rcurtis@gmail.com,Email
2025-08-24,millerkarina@walker-ware.com,Email
2025-10-15,lamchristina@hotmail.com,Email
2026-02-14,darrell27@banks-valdez.net,Direct
2025-11-20,bbender@pope.com,Referral
2025-12-16,fmills@gmail.com,Unknown
2025-11-28,marygraham@hotmail.com,Referral
2025-10-11,hbutler@gallegos.com,Email
2025-10-02,friedmanrebecca@valdez.biz,Email
2025-10-16,rebeccapalmer@thomas.com,Referral
2025-09-20,dtaylor@hotmail.com,Organic
2026-01-01,harriscrystal@obrien.com,Referral
2025-09-23,estevenson@yahoo.com,Referral
2025-11-25,seanwilliams@hotmail.com,Organic
2025-11-10,travissalas@yahoo.com,Referral
2025-11-03,florescharles@hancock.com,Referral
2025-09-27,jessica74@hotmail.com,Direct
2025-12-04,kelly05@gmail.com,Direct
2025-09-18,yorkkristin@yahoo.com,Organic
2026-01-14,qduncan@guzman.org,Direct
2025-08-30,qsanchez@fowler.com,Organic
2026-01-12,trevorbass@estes-tucker.com,Email
2025-10-26,sullivanrobert@norris-mcdonald.com,Referral
2025-11-04,bryanfuller@smith-parker.net,Unknown
2025-09-05,kbenson@yahoo.com,Email
2025-11-14,jacksonseth@hayden-lowe.org,Organic
2025-12-29,robbinsdavid@hotmail.com,Organic
2025-12-16,susanhernandez@johnson-massey.com,Organic
2025-10-02,iwhite@miller.info,Referral
2026-01-03,owong@hotmail.com,Organic
2025-12-24,david50@hotmail.com,Organic
2026-01-24,wendy19@flores.org,Email
2025-12-28,keithsmith@haney-delgado.com,Email
2026-01-03,kjones@collins.com,Direct
2025-11-06,chernandez@yahoo.com,Organic
2025-10-13,christopher01@crawford.com,Organic
2025-08-25,charlesnavarro@yahoo.com,Organic
2025-11-09,terryedward@wong.net,Direct
2025-10-26,sabrina04@gmail.com,Referral
2025-12-29,rosskristin@brewer.com,Unknown
2025-10-09,briana31@yahoo.com,Referral
2025-11-07,monicafox@gonzalez-moyer.com,Referral
2026-01-21,garzadavid@thompson.com,Email
2025-09-09,ariel69@yahoo.com,Referral
2026-01-02,gmorgan@williams.com,Referral
2025-12-17,richardjohnson@hotmail.com,Organic
2025-11-21,charlesjones@yahoo.com,Unknown
2026-01-05,arielhood@marshall.com,Referral
2025-11-02,elizabethwheeler@jordan.com,Direct
2026-02-05,garciakaren@hotmail.com,Referral
2026-02-10,michael48@hotmail.com,Unknown
2025-11-16,christopherking@hotmail.com,Email
2025-11-06,nguyenbeth@hotmail.com,Referral
2025-10-17,marksstephanie@clark.com,Organic
2025-08-28,victoria64@edwards.com,Referral
2025-09-08,hwilkins@watts.com,Email
2025-09-11,williamjohnson@yahoo.com,Unknown
2025-09-05,galvanshawn@stephens.info,Direct
2026-01-03,daniel44@perez.com,Email
2025-09-23,yfaulkner@hotmail.com,Referral
2025-08-31,hhuang@gmail.com,Email
2026-01-30,zpennington@maxwell.com,Referral
2025-09-06,bmorris@smith.net,Direct
2025-09-18,sethduncan@gmail.com,Organic
2025-09-18,dmedina@sanchez-garcia.org,Unknown
2026-02-15,butlerlarry@gmail.com,Email
2026-01-18,john85@simmons-blevins.biz,Unknown
2025-11-01,macdonaldmichael@yahoo.com,Referral
2025-11-12,agarza@carey-johnson.com,Referral
2026-01-21,arthur70@thomas-reed.com,Email
2025-11-05,marisadaugherty@wilson-ruiz.com,Referral
2025-11-01,colleen17@yahoo.com,Direct
2026-01-30,allengeorge@yahoo.com,Direct
2026-02-12,juarezbrent@gmail.com,Email
2025-12-14,prattmartin@green.net,Referral
2025-08-22,kschneider@yahoo.com,Direct
2026-02-10,chelsey04@yahoo.com,Referral
2026-01-15,hensleyjames@hotmail.com,Unknown
2025-09-11,johnspencer@sanchez.com,Email
2025-09-13,angela78@collins-jenkins.biz,Referral
2025-09-25,david86@jones.com,Direct
2026-02-02,uvega@rodriguez.com,Email
2025-12-17,christophertaylor@oneal-estrada.info,Referral
2026-01-07,jamescallahan@gmail.com,Direct
2025-11-06,wagnerjeffrey@neal-smith.com,Direct
2025-11-08,thomasstephen@yahoo.com,Organic
2026-02-06,ygrant@yahoo.com,Direct
2025-11-24,lrasmussen@dunlap-meza.com,Unknown
2025-09-12,michellekramer@yahoo.com,Unknown
2025-11-05,brenda10@york.biz,Direct
2025-09-22,nancy93@hotmail.com,Direct
2025-12-29,williamphelps@gmail.com,Email
2026-01-04,gallagherdavid@weaver.com,Direct
2026-02-11,shannon77@gmail.com,Referral
2025-10-09,carl30@yahoo.com,Email
2025-11-24,meghangarcia@gmail.com,Organic
2026-01-27,juan31@padilla-price.com,Referral
2026-02-10,holly73@murphy.net,Referral
2026-01-06,whitejeffrey@hotmail.com,Direct
2025-09-01,angelapotts@gmail.com,Email
2025-10-24,madisonmccarthy@long.biz,Referral
2025-10-18,stephenperry@hotmail.com,Referral
2025-12-03,jaredsmith@black.info,Referral
2025-08-24,andrea42@hotmail.com,Direct
2025-09-23,fthomas@gmail.com,Referral
2026-02-04,bmaynard@morris-santiago.org,Unknown
2025-09-28,bhughes@hotmail.com,Unknown
2025-11-03,salinasbradley@russell-meyers.com,Organic
2025-12-28,bgomez@gmail.com,Referral
2025-11-14,srichardson@hotmail.com,Organic
2025-11-03,hcruz@hotmail.com,Direct
2025-11-11,dianebell@hotmail.com,Organic
2025-09-27,thomas58@gmail.com,Organic
2025-11-03,miguel45@yahoo.com,Unknown
2025-10-24,jennifer77@campos-lester.com,Unknown
2025-10-13,jknox@gmail.com,Direct
2026-01-11,ryan82@hunt-hunter.com,Organic
2025-12-06,joycedale@moreno-patel.com,Email
2026-01-26,panderson@miller.com,Referral
2026-02-17,ucamacho@gmail.com,Direct
2025-10-25,kathleen51@yahoo.com,Organic
2025-09-06,shawnchen@jimenez.com,Referral
2026-02-11,sjones@hotmail.com,Referral
2026-02-10,morganlawrence@yahoo.com,Organic
2025-09-05,teresa57@mcdowell.com,Direct
2025-09-19,scott06@gmail.com,Organic
2025-09-22,hperez@hotmail.com,Referral
2026-01-22,linmonica@duffy-mullins.com,Unknown
2025-10-12,dthompson@torres-lopez.com,Referral
